test_case,precision,recall,response_time,recommended,expected
phim có ian mckellen,1.0,0.6,21.81,"['The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Two Towers']","['The Lord of the Rings: The Fellowship of the Ring', 'The Hobbit: An Unexpected Journey', 'The Lord of the Rings: The Two Towers', 'The Da Vinci Code', 'The Lord of the Rings: The Return of the King']"
phim của steven spielberg,0.8,0.8,1.9,"[""Schindler's List"", 'Saving Private Ryan', 'Raiders of the Lost Ark', 'Jurassic Park', 'Catch Me If You Can']","['Saving Private Ryan', ""Schindler's List"", 'E.T. the Extra-Terrestrial', 'Jurassic Park', 'Catch Me If You Can']"
Spider-Man: Into the Spider-Ver,1.0,1.0,0.44,['Spider-Man: Into the Spider-Verse'],['Spider-Man: Into the Spider-Verse']
phim của christopher nolan,0.6,0.6,23.64,"['The Dark Knight', 'Inception', 'Interstellar', 'The Prestige', 'Memento']","['Inception', 'Interstellar', 'The Dark Knight', 'Tenet', 'Dunkirk']"
phim của peter jackson,1.0,0.75,27.09,"['The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Two Towers']","['The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Two Towers', 'The Hobbit: An Unexpected Journey', 'The Lord of the Rings: The Return of the King']"
SAvengers: Infinity,1.0,1.0,0.3,['Avengers: Infinity War'],['Avengers: Infinity War']
phim của robert zemeckis,0.5,0.33,22.06,"['Forrest Gump', 'Back to the Future']","['Who Framed Roger Rabbit', 'Forrest Gump', 'Back To The Future']"
phim của david fincher,0.33,0.33,23.4,"['Fight Club', 'Se7en', 'Gone Girl']","['Gone Girl', 'The Girl with the Dragon Tattoo', 'The Curious Case of Benjamin Button']"
Like Stars Earth,1.0,1.0,0.38,['Like Stars on Earth'],['Like Stars on Earth']
phim hành động của christopher nolan,1.0,0.67,21.7,"['The Dark Knight', 'Inception']","['Inception', 'The Dark Knight', 'Tenet']"
phim có tom hanks thể loại tâm lý,0.4,0.5,2.6,"['Forrest Gump', 'The Green Mile', 'Saving Private Ryan', 'Toy Story', 'Catch Me If You Can']","['Forrest Gump', 'The Terminal', 'Cast Away', 'The Green Mile']"
phim của leonardo dicaprio đạo diễn christopher nolan,0.0,0.0,22.35,"['The Departed', 'Catch Me If You Can']",['Inception']
action movies with Christian Bale,1.0,0.67,22.1,"['The Dark Knight', 'The Prestige']","['Inception', 'The Dark Knight', 'The Prestige']"
phim phiêu lưu của peter jackson,0.67,0.67,21.94,"['The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Two Towers']","['The Lord of the Rings: The Fellowship of the Ring', 'The Hobbit: An Unexpected Journey', 'The Lord of the Rings: The Return of the King']"
